,Ano,Mes,Dia,hora,T20 Laje,T05 Ponte
668,2014,11,23,20,16.63,22.393
669,2014,11,23,21,16.844,22.896
670,2014,11,23,22,16.844,22.729
671,2014,11,23,23,18.557,23.112
672,2014,11,24,0,16.654,23.304
673,2014,11,24,1,16.701,21.103
674,2014,11,24,2,16.439,19.532
675,2014,11,24,3,16.225,18.485
676,2014,11,24,4,16.344,18.081
677,2014,11,24,5,16.392,17.701
678,2014,11,24,6,16.249,19.103
679,2014,11,24,7,16.439,21.27
680,2014,11,24,8,16.439,22.369
681,2014,11,24,9,16.463,21.056
682,2014,11,24,10,16.63,22.633
683,2014,11,24,11,16.82,21.891
684,2014,11,24,12,18.39,23.088
685,2014,11,24,13,16.415,20.984
686,2014,11,24,14,16.892,19.389
687,2014,11,24,15,16.249,18.794
688,2014,11,24,16,16.034,17.463
689,2014,11,24,17,17.177,18.628
690,2014,11,24,18,16.272,20.603
691,2014,11,24,19,16.63,21.318
692,2014,11,24,20,16.701,20.674
693,2014,11,24,21,16.749,22.465
694,2014,11,24,22,16.844,21.7
695,2014,11,24,23,16.915,22.537
696,2014,11,25,0,17.225,22.896
697,2014,11,25,1,16.773,22.226
698,2014,11,25,2,16.987,20.674
699,2014,11,25,3,17.32,19.08
700,2014,11,25,4,17.272,18.557
701,2014,11,25,5,17.701,17.796
702,2014,11,25,6,18.129,18.224
703,2014,11,25,7,17.819,19.817
704,2014,11,25,8,17.534,20.746
705,2014,11,25,9,17.558,21.151
706,2014,11,25,10,17.605,21.7
707,2014,11,25,11,17.534,21.748
708,2014,11,25,12,17.605,22.106
709,2014,11,25,13,19.056,22.082
710,2014,11,25,14,17.677,21.963
711,2014,11,25,15,17.629,19.841
712,2014,11,25,16,17.772,18.961
713,2014,11,25,17,17.272,18.985
714,2014,11,25,18,17.891,20.222
715,2014,11,25,19,17.629,21.056
716,2014,11,25,20,17.819,21.294
717,2014,11,25,21,17.748,21.557
718,2014,11,25,22,17.843,22.465
719,2014,11,25,23,17.819,21.748
720,2014,11,26,0,17.748,22.824
721,2014,11,26,1,18.057,23.569
722,2014,11,26,2,17.819,22.896
723,2014,11,26,3,17.772,20.555
724,2014,11,26,4,17.058,19.603
725,2014,11,26,5,17.677,19.246
726,2014,11,26,6,16.987,18.818
